2025-01-13 18:39:21,141 - INFO - Epoch 1/500 Validation Loss: 1.3472, Validation Accuracy: 54.96%, Precision: 0.45, Recall: 0.55, F1: 0.49
2025-01-13 18:39:40,963 - INFO - Epoch 2/500 Validation Loss: 1.3746, Validation Accuracy: 53.25%, Precision: 0.45, Recall: 0.53, F1: 0.47
2025-01-13 18:40:00,812 - INFO - Epoch 3/500 Validation Loss: 1.4019, Validation Accuracy: 54.51%, Precision: 0.46, Recall: 0.55, F1: 0.47
2025-01-13 18:40:20,316 - INFO - Validation Loss: 1.2804, Validation Accuracy: 55.60%, Precision: 0.45, Recall: 0.56, F1: 0.47
2025-01-13 18:40:39,942 - INFO - Validation Loss: 1.3121, Validation Accuracy: 57.94%, Precision: 0.48, Recall: 0.58, F1: 0.51
2025-01-13 18:40:59,070 - INFO - Validation Loss: 1.3436, Validation Accuracy: 55.69%, Precision: 0.47, Recall: 0.56, F1: 0.49
2025-01-13 18:41:18,315 - INFO - Validation Loss: 1.3093, Validation Accuracy: 55.60%, Precision: 0.47, Recall: 0.56, F1: 0.47
2025-01-13 18:41:37,472 - INFO - Validation Loss: 1.2986, Validation Accuracy: 55.87%, Precision: 0.46, Recall: 0.56, F1: 0.51
2025-01-13 18:41:56,940 - INFO - Validation Loss: 1.2709, Validation Accuracy: 58.48%, Precision: 0.53, Recall: 0.58, F1: 0.54
2025-01-13 18:42:16,221 - INFO - Validation Loss: 1.3478, Validation Accuracy: 57.04%, Precision: 0.47, Recall: 0.57, F1: 0.50
2025-01-13 18:42:35,030 - INFO - Validation Loss: 1.3186, Validation Accuracy: 55.87%, Precision: 0.49, Recall: 0.56, F1: 0.49
2025-01-13 18:42:53,996 - INFO - Validation Loss: 1.2693, Validation Accuracy: 58.84%, Precision: 0.55, Recall: 0.59, F1: 0.54
2025-01-13 18:43:12,526 - INFO - Validation Loss: 1.2985, Validation Accuracy: 56.86%, Precision: 0.52, Recall: 0.57, F1: 0.52
2025-01-13 18:43:30,961 - INFO - Validation Loss: 1.3609, Validation Accuracy: 56.68%, Precision: 0.51, Recall: 0.57, F1: 0.51
2025-01-13 18:43:49,576 - INFO - Validation Loss: 1.2782, Validation Accuracy: 58.94%, Precision: 0.54, Recall: 0.59, F1: 0.55
2025-01-13 18:44:09,243 - INFO - Validation Loss: 1.3105, Validation Accuracy: 57.40%, Precision: 0.53, Recall: 0.57, F1: 0.53
2025-01-13 18:44:29,641 - INFO - Validation Loss: 1.3094, Validation Accuracy: 58.03%, Precision: 0.53, Recall: 0.58, F1: 0.54
2025-01-13 18:44:49,294 - INFO - Validation Loss: 1.3700, Validation Accuracy: 55.69%, Precision: 0.51, Recall: 0.56, F1: 0.52
2025-01-13 18:45:07,760 - INFO - Validation Loss: 1.4247, Validation Accuracy: 57.04%, Precision: 0.54, Recall: 0.57, F1: 0.51
2025-01-13 18:45:26,366 - INFO - Validation Loss: 1.3024, Validation Accuracy: 57.58%, Precision: 0.52, Recall: 0.58, F1: 0.52
2025-01-13 18:45:45,003 - INFO - Validation Loss: 1.2766, Validation Accuracy: 58.30%, Precision: 0.48, Recall: 0.58, F1: 0.52
2025-01-13 18:46:03,427 - INFO - Validation Loss: 1.3648, Validation Accuracy: 55.96%, Precision: 0.53, Recall: 0.56, F1: 0.53
2025-01-13 18:46:21,736 - INFO - Validation Loss: 1.3195, Validation Accuracy: 57.40%, Precision: 0.53, Recall: 0.57, F1: 0.54
2025-01-13 18:46:39,787 - INFO - Validation Loss: 1.3260, Validation Accuracy: 56.86%, Precision: 0.52, Recall: 0.57, F1: 0.52
2025-01-13 18:46:58,035 - INFO - Validation Loss: 1.3427, Validation Accuracy: 57.49%, Precision: 0.50, Recall: 0.57, F1: 0.52
2025-01-13 18:47:16,222 - INFO - Validation Loss: 1.3664, Validation Accuracy: 58.03%, Precision: 0.53, Recall: 0.58, F1: 0.54
2025-01-13 18:47:34,491 - INFO - Validation Loss: 1.4937, Validation Accuracy: 57.04%, Precision: 0.51, Recall: 0.57, F1: 0.53
2025-01-13 18:47:53,050 - INFO - Validation Loss: 1.3529, Validation Accuracy: 56.95%, Precision: 0.51, Recall: 0.57, F1: 0.51
2025-01-13 18:48:11,380 - INFO - Validation Loss: 1.3569, Validation Accuracy: 57.49%, Precision: 0.52, Recall: 0.57, F1: 0.53
2025-01-13 18:48:30,048 - INFO - Validation Loss: 1.3938, Validation Accuracy: 56.59%, Precision: 0.52, Recall: 0.57, F1: 0.54
2025-01-13 18:48:48,906 - INFO - Validation Loss: 1.3777, Validation Accuracy: 56.59%, Precision: 0.51, Recall: 0.57, F1: 0.52
2025-01-13 18:49:07,204 - INFO - Validation Loss: 1.5708, Validation Accuracy: 58.48%, Precision: 0.52, Recall: 0.58, F1: 0.54
2025-01-13 18:49:25,700 - INFO - Validation Loss: 1.5687, Validation Accuracy: 56.50%, Precision: 0.52, Recall: 0.56, F1: 0.54
2025-01-13 18:49:44,437 - INFO - Validation Loss: 1.4807, Validation Accuracy: 57.94%, Precision: 0.53, Recall: 0.58, F1: 0.54
2025-01-13 18:50:03,281 - INFO - Validation Loss: 1.5557, Validation Accuracy: 58.21%, Precision: 0.52, Recall: 0.58, F1: 0.54
2025-01-13 18:50:22,044 - INFO - Validation Loss: 1.6182, Validation Accuracy: 55.78%, Precision: 0.52, Recall: 0.56, F1: 0.53
2025-01-13 18:50:41,510 - INFO - Validation Loss: 1.6141, Validation Accuracy: 56.95%, Precision: 0.52, Recall: 0.57, F1: 0.53
2025-01-13 18:51:00,085 - INFO - Validation Loss: 1.6331, Validation Accuracy: 56.23%, Precision: 0.50, Recall: 0.56, F1: 0.53
2025-01-13 18:51:18,802 - INFO - Validation Loss: 1.6021, Validation Accuracy: 57.31%, Precision: 0.52, Recall: 0.57, F1: 0.54
2025-01-13 18:51:37,270 - INFO - Validation Loss: 1.5463, Validation Accuracy: 58.30%, Precision: 0.53, Recall: 0.58, F1: 0.54
2025-01-13 18:51:56,569 - INFO - Validation Loss: 1.6934, Validation Accuracy: 56.68%, Precision: 0.50, Recall: 0.57, F1: 0.52
2025-01-13 18:52:15,829 - INFO - Validation Loss: 1.5963, Validation Accuracy: 56.86%, Precision: 0.51, Recall: 0.57, F1: 0.53
2025-01-13 18:52:34,903 - INFO - Validation Loss: 1.5473, Validation Accuracy: 56.50%, Precision: 0.50, Recall: 0.56, F1: 0.52
2025-01-13 18:52:53,942 - INFO - Validation Loss: 1.4268, Validation Accuracy: 57.49%, Precision: 0.52, Recall: 0.57, F1: 0.54
2025-01-13 18:53:12,658 - INFO - Validation Loss: 1.4841, Validation Accuracy: 56.68%, Precision: 0.51, Recall: 0.57, F1: 0.53
2025-01-13 18:53:31,550 - INFO - Validation Loss: 1.5720, Validation Accuracy: 56.77%, Precision: 0.52, Recall: 0.57, F1: 0.54
2025-01-13 18:53:50,361 - INFO - Validation Loss: 1.5824, Validation Accuracy: 56.41%, Precision: 0.52, Recall: 0.56, F1: 0.53
2025-01-13 18:54:09,214 - INFO - Validation Loss: 1.4954, Validation Accuracy: 47.83%, Precision: 0.43, Recall: 0.48, F1: 0.41
2025-01-13 18:54:28,011 - INFO - Validation Loss: 1.3952, Validation Accuracy: 56.68%, Precision: 0.51, Recall: 0.57, F1: 0.53
2025-01-13 18:54:46,287 - INFO - Validation Loss: 1.3645, Validation Accuracy: 56.50%, Precision: 0.52, Recall: 0.56, F1: 0.54
2025-01-13 18:55:04,275 - INFO - Validation Loss: 1.3965, Validation Accuracy: 56.23%, Precision: 0.52, Recall: 0.56, F1: 0.54
2025-01-13 18:55:22,357 - INFO - Validation Loss: 1.4344, Validation Accuracy: 55.51%, Precision: 0.51, Recall: 0.56, F1: 0.53
2025-01-13 18:55:40,420 - INFO - Validation Loss: 1.5165, Validation Accuracy: 55.05%, Precision: 0.49, Recall: 0.55, F1: 0.51
2025-01-13 18:55:59,005 - INFO - Validation Loss: 1.5437, Validation Accuracy: 56.77%, Precision: 0.52, Recall: 0.57, F1: 0.53
2025-01-13 18:56:17,374 - INFO - Validation Loss: 1.6264, Validation Accuracy: 56.41%, Precision: 0.54, Recall: 0.56, F1: 0.53
2025-01-13 18:56:35,504 - INFO - Validation Loss: 1.6975, Validation Accuracy: 56.32%, Precision: 0.52, Recall: 0.56, F1: 0.54
